"Allow Everything", "Allow Everything"
"Check this out!", "Check this out!"
"Earn Reward Points for sharing!", "Earn Reward Points for sharing!"
"Facebook App ID", "Facebook App ID"
"Facebook Like Points has been canceled", "Facebook Like Points has been canceled"
"Facebook Settings", "Facebook Settings"
"G+1 Points has been canceled", "G+1 Points has been canceled"
"Google Plus Settings", "Google Plus Settings"
"Like this page and earn %s", "Like this page and earn %s"
"Login to earn %s for sharing!", "Login to earn %s for sharing!"
"Maximum number of like rewards per day", "Maximum number of like rewards per day"
"Maximum number of rewards per day", "Maximum number of rewards per day"
"Maximum number of twitter rewards per day", "Maximum number of twitter rewards per day"
"Pin this page and earn %s", "Pin this page and earn %s"
"Plus this page and earn %s", "Plus this page and earn %s"
"Refer Friends", "Refer Friends"
"Refer friend and earn %s. More friends more points!", "Refer friend and earn %s. More friends more points!"
"RewardsSocial - Balance update Email", "RewardsSocial - Balance update Email"
"RewardsSocial - Invitation Email Template", "RewardsSocial - Invitation Email Template"
"RewardsSocial - Points expire Email", "RewardsSocial - Points expire Email"
"Show Facebook Like button", "Show Facebook Like button"
"Show Google Plus +1 button", "Show Google Plus +1 button"
"Show Pinterest pin button", "Show Pinterest pin button"
"Show Twitter Follow button", "Show Twitter Follow button"
"Social Networks Settings", "Social Networks Settings"
"Tweet", "Tweet"
"Tweet this page and earn %s", "Tweet this page and earn %s"
"Share","Share"
"Your product referral link", "Your product referral link"
"Contacts of your friends to invite them","Contacts of your friends to invite them"
"Enter comma-separated email list","Enter comma-separated email list"
"Send Invitations","Send Invitations"
